Filename,File Size (Bytes),Upload Date,File Path,Folder Name
Saved_Pictures_27888.jpg,2952287,2025-01-31 10:56:02,C:\Users\Coop\flask_app\uploads\Saved_Pictures_27888.jpg,
Saved_Pictures_cooplogo.jpg,12584,2025-01-31 10:56:02,C:\Users\Coop\flask_app\uploads\Saved_Pictures_cooplogo.jpg,
Saved_Pictures_d.jpg,114825,2025-01-31 10:56:02,C:\Users\Coop\flask_app\uploads\Saved_Pictures_d.jpg,
Saved_Pictures_donation.jpg,45551,2025-01-31 10:56:02,C:\Users\Coop\flask_app\uploads\Saved_Pictures_donation.jpg,
Saved_Pictures_E.jpg,30785,2025-01-31 10:56:02,C:\Users\Coop\flask_app\uploads\Saved_Pictures_E.jpg,
Saved_Pictures_reward.jpg,14651,2025-01-31 10:56:02,C:\Users\Coop\flask_app\uploads\Saved_Pictures_reward.jpg,
Saved_Pictures_27888.jpg,2952287,2025-01-31 11:02:29,,2025-01-31_11-02-29
Saved_Pictures_cooplogo.jpg,12584,2025-01-31 11:02:29,,2025-01-31_11-02-29
Saved_Pictures_d.jpg,114825,2025-01-31 11:02:29,,2025-01-31_11-02-29
Saved_Pictures_donation.jpg,45551,2025-01-31 11:02:29,,2025-01-31_11-02-29
Saved_Pictures_E.jpg,30785,2025-01-31 11:02:29,,2025-01-31_11-02-29
Saved_Pictures_reward.jpg,14651,2025-01-31 11:02:29,,2025-01-31_11-02-29
Saved_Pictures_27888.jpg,2952287,2025-01-31 11:05:24,,2025-01-31_11-05-24
Saved_Pictures_cooplogo.jpg,12584,2025-01-31 11:05:24,,2025-01-31_11-05-24
Saved_Pictures_d.jpg,114825,2025-01-31 11:05:24,,2025-01-31_11-05-24
Saved_Pictures_donation.jpg,45551,2025-01-31 11:05:24,,2025-01-31_11-05-24
Saved_Pictures_E.jpg,30785,2025-01-31 11:05:24,,2025-01-31_11-05-24
Saved_Pictures_reward.jpg,14651,2025-01-31 11:05:24,,2025-01-31_11-05-24
pictures_ethiopianAirlines.jpg,13280,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_frontdebo.png,1124415,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_girum_pic.jpg,242743,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_incubation1.jpg,120361,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_incubation2.jpg,133046,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_incubation3.jpg,168402,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_innovation1.jpg,117906,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_innovation2.jpg,112230,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_innovation3.jpg,140447,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_launchdate.png,121379,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_mainpage.png,195736,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-04-01_153852.png,195623,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-04-01_162526.png,1124325,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-04-02_105706.png,6359,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-05-31_155003.png,111320,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-07-22_151152.png,69020,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-08-21_150331.png,15020,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-08-21_150602.png,131,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-08-21_150620.png,11759,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-08-21_150818.png,727861,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-09-07_121510.png,122248,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-11-15_093653.png,656934,2025-01-31 11:05:41,,2025-01-31_11-05-41
pictures_Screenshots_Screenshot_2024-11-15_093937.png,534175,2025-01-31 11:05:41,,2025-01-31_11-05-41
